Nombre,Latitude,Longitude,Marca,Distrito,Zona,Direccion,Premium_con_descuento,Premium_lista,Descuento,Regular_lista,Diesel_lista,Codigo_Osinergmin,Actualizado
"Repsol S/ 22.19","-11.989406","-77.05751","Repsol","INDEPENDENCIA","Lima","AV. GERARDO UNGER N° 3689, MZ D LOTE 26, URB. HABILITACIÓN PANAMERICANA NORTE","22.19","25.19","3.00","22.99","27.99","6874","2026-09-23"
"Primax S/ 22.29","-12.101795","-77.019135","Primax","SAN ISIDRO","Lima","AV. REPUBLICA DE PANAMA Nº 3690 - 3696","22.29","23.29","1.00","21.29","26.19","18351","2026-09-23"
"Primax S/ 22.29","-12.12391","-76.87202","Primax","PACHACAMAC","Lima","AV. VICTOR MALASQUEZ S/N SECTOR NUEVO PROGRESO, MZ. V, LOTES 130 Y 131 (AHORA SEGÚN CONSTANCIA MUNICIPAL AV. VICTOR MALASQUEZ LTE. 217)","22.29","23.29","1.00","21.45","26.29","15491","2026-09-23"
"Primax S/ 22.29","-12.083554","-77.01253","Primax","LA VICTORIA","Lima","AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA","22.29","23.29","1.00","21.69","25.39","9464","2026-09-23"
"Primax S/ 22.29","-12.138856","-77.017944","Primax","BARRANCO","Lima","AV. EL SOL Nº 697, ESQUINA CON AV. REPUBLICA DE PANAMA","22.29","23.29","1.00","21.49","25.69","21558","2026-09-23"
"Primax S/ 22.39","-12.0841055","-77.096214","Primax","SAN MIGUEL","Lima","AV. LA PAZ Y CALLE GRAN MARISCAL AGUSTIN GAMARRA MESSIA (ANTES JIRON) DENOMINADO LOTE 246, SUBLOTE A,B,C Y D DE LA MZ. 14 URBANIZACIÓN MIRAMAR..","22.39","23.39","1.00","20.99","25.79","130775","2026-09-23"
"Primax S/ 22.39","-12.016828","-76.99523","Primax","SAN JUAN DE LURIGANCHO","Lima","AV. LURIGANCHO MZ. B LOTE 10 A,B,C,D, E Y SUB LOTE 10 F1","22.39","23.39","1.00","21.89","25.19","135513","2026-09-23"
"Primax S/ 22.49","-12.2394285","-76.91289","Primax","VILLA EL SALVADOR","Lima","AV. LIMA ESQUINA AV. MARIA REICHE, MZ. C, LOTE 17, AA.HH. VILLA LA PAZ","22.49","23.49","1.00","22.49","25.39","9616","2026-09-23"
"Primax S/ 22.49","-12.120271","-76.9985","Primax","SURQUILLO","Lima","AV. AVIACION N° 4524 ESQUINA CON LA AV. VILLARAN","22.49","23.49","1.00","21.49","25.89","38655","2026-09-23"
"Primax S/ 22.49","-12.08444","-76.97465","Primax","SANTIAGO DE SURCO","Lima","AV. JAVIER PRADO ESTE S/N CUADRA 44, URB. FUNDO MONTERRICO CHICO","22.49","23.49","1.00","22.49","25.39","8063","2026-09-23"
"Primax S/ 22.49","-12.074424","-77.08356","Primax","SAN MIGUEL","Lima","AV. LA MAR N° 2382 Y AV. RIVAGÜERO N° 810 URB. PANDO IV ETAPA (ANTES AV. RIVA AGUERO ESQ. CON LA MAR)","22.49","23.49","1.00","21.89","26.89","16694","2026-09-23"
